*書名,*圖書編號
原子習慣：細微改變帶來巨大成就的實證法則,f1-1-2-3
一個人，你也要活得晴空萬里,f1-1-2-4
你可以生氣，但不要越想越氣：停止情緒化思考、不再與對錯拔河，從此擺脫「地雷型」人設！,f1-1-2-5
可是，我就是會在意！：給人際玻璃心，看透自導自演內心戲，停止煩惱的無限放大,f1-1-2-6
以為時間久了，我就會沒事：大腦會記住小時候的委屈、孤單和傷心！說出憋在心裡的痛苦，突破無法解決的關卡,f1-1-2-7
我，為什麼會這樣？：喜歡這些，討厭那些，從生物學、腦科學與心理學解釋我們的喜好、情緒、行為與想法，重啟一趟人類的認識之旅,f1-1-2-8
大腦這樣記憶，什麼都學得會,f1-1-2-9
無限賽局：翻轉思維框架，突破勝負盲點，贏得你想要的未來,f1-1-2-10
拆解考試的技術：輕鬆高分錄取的黃金學習頻率、讀書筆記技巧,f1-1-2-11
為什麼要睡覺？：睡出健康與學習力、夢出創意的新科學,f1-1-2-12
超速學習：我這樣做，一個月學會素描，一年學會四種語言，完成MIT四年課程,f1-1-2-13
有錢人想的和你不一樣,f1-1-2-14
刻意練習：原創者全面解析，比天賦更關鍵的學習法,f1-1-2-15
冷知識背後的熱思考：啾啾鞋教你幫大腦開外掛的30個法則,f1-1-2-16
自己的力學：找到喜歡又做得好的事,f1-1-2-17
人類使用說明書：關於生活與人際難題，科學教我們的事,f1-1-2-18
人生有限，你要玩出無限：在個體崛起時代，展現「一軍」突起的軟實力,f1-1-2-19
老屋顏與鐵窗花：被遺忘的「台灣元素」——承載台灣傳統文化、世代歷史、民居生活的人情風景,f1-1-2-20
通往世界的植物：臺灣高山植物的時空旅史,f1-1-2-21
談情說愛——古人超有哏,f1-1-2-22
我家就是深夜食堂：4位人氣料理家只在這裡教的私房食譜75道,f1-1-2-23
曲盤開出一蕊花（書+CD）：戰前臺灣流行音樂讀本,f1-1-2-24
孤島通信,f1-1-2-25
超人氣FB+IG+LINE社群經營與行銷力：用225招快速聚粉，飆升流量變業績！,f1-1-2-26
注意力商人：他們如何操弄人心?揭密媒體、廣告、群眾的角力戰,f1-1-2-27
個人品牌獲利：自媒體經營的五大關鍵變現思維,f1-1-2-28
向下扎根！德國教育的公民思辨課7－「過濾氣泡、假新聞與說謊媒體──我們如何避免被操弄？」：有自覺使用媒體的第一步,f1-1-2-29
唐鳳：我所看待的自由與未來,f1-1-2-30
我的老台北,f1-1-2-31
山教我的事,f1-1-2-32
國學潮人誌，古人超有料——12位最強男神女神，成敗起伏的生命中，有哪些與眾不同的求生姿態、不同的「潮」,f1-1-2-33
文學少年遊：蔣勳老師教我的事,f1-1-2-34
向夕陽敬酒：生命深秋時的智慧筆記,f1-1-2-35
誰偷走了他們的青春：２４年的法庭輪轉人生 一部活生生的法稅教材,f1-1-2-36
我所嚮往的生活文明,f1-1-2-37
人生路引：我從閱讀中練就的28個基本功,f1-1-2-38
懂得藏起厭惡，也能掏出真心：30堂蹺不掉的社會課,f1-1-2-39
新編古典今看,f1-1-2-40
減法理財術，人生大加分：樂活大叔最暖心法總整理,f1-1-2-41
公園遊戲力：22個精彩案例 × 一群幕後推手，與孩子一起翻轉全台兒童遊戲場,f1-1-2-42
人性鍊金術：奧美最有效的行銷策略,f1-1-2-43
趣味心理學原來是神隊友：10秒鐘人生助攻教室,f1-1-2-44
從習慣洞察人心：學會識人術，解決人際關係的所有煩惱,f1-1-2-45
鬼滅之刃,f1-1-2-46
漫畫的厲害思想：1960-80年代日本漫畫的嶄新想像,f1-1-2-47
只有一半的真相：為什麼科學看不到全貌？,f1-1-2-48
世界大局．地圖全解讀,f1-1-2-49
2030世界未來報告書：區塊鏈、AI、生技與新能源革命、產業重新洗牌，接下來10年的工作與商機在哪裡？徹底圖解世界各國政治制度：一次搞懂5大洲,f1-1-2-50
23個國家，一手掌握全球動向,f1-1-2-51
一分鐘大歷史：從地理大發現、世紀瘟疫到車諾比核災，160個改變世界的關鍵事件完全圖解,f1-1-2-52
